top - 15:13:48 up 48 days, 19:21,  3 users,  load average: 9.52, 9.26, 7.18
Tasks: 881 total,   6 running, 875 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.7 us, 17.4 sy,  0.0 ni, 63.5 id,  0.0 wa,  0.6 hi,  3.9 si,  0.0 st 
MiB Mem :  31223.2 total,    603.5 free,  22949.8 used,   8398.2 buff/cache     
MiB Swap:   8192.0 total,   4376.5 free,   3815.5 used.   8273.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     56 root      rt   0       0      0      0 S   0.0   0.0   3:45.90 migrati+
     57 root      -2   0       0      0      0 S   0.0   0.0   1:02.61 rcuc/4
     59 root      20   0       0      0      0 S   0.0   0.0   1:47.47 ksoftir+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     62 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     64 root      -2   0       0      0      0 S   0.0   0.0   0:03.00 irq_wor+
     65 root      rt   0       0      0      0 S   0.0   0.0   3:50.45 migrati+
     66 root      -2   0       0      0      0 S   0.0   0.0   0:58.29 rcuc/5
     67 root      -2   0       0      0      0 S   0.0   0.0   7:27.29 ktimers+
     68 root      20   0       0      0      0 S   0.0   0.0   1:35.75 ksoftir+
     70 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     71 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     73 root      -2   0       0      0      0 S   0.0   0.0   0:02.84 irq_wor+
     74 root      rt   0       0      0      0 S   0.0   0.0   3:15.79 migrati+
     75 root      -2   0       0      0      0 S   0.0   0.0   1:05.97 rcuc/6
     77 root      20   0       0      0      0 S   0.0   0.0   1:35.87 ksoftir+
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     80 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     82 root      -2   0       0      0      0 S   0.0   0.0   0:02.98 irq_wor+
     83 root      rt   0       0      0      0 S   0.0   0.0   2:37.49 migrati+
     84 root      -2   0       0      0      0 S   0.0   0.0   1:18.72 rcuc/7
     85 root      -2   0       0      0      0 S   0.0   0.0   7:27.78 ktimers+
     86 root      20   0       0      0      0 S   0.0   0.0   1:44.21 ksoftir+
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     91 root      -2   0       0      0      0 S   0.0   0.0   0:02.68 irq_wor+
     92 root      rt   0       0      0      0 S   0.0   0.0   3:05.84 migrati+
     93 root      -2   0       0      0      0 S   0.0   0.0   1:08.76 rcuc/8
     94 root      -2   0       0      0      0 S   0.0   0.0   7:45.19 ktimers+
     95 root      20   0       0      0      0 S   0.0   0.0   1:31.78 ksoftir+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    100 root      -2   0       0      0      0 S   0.0   0.0   0:03.52 irq_wor+
    101 root      rt   0       0      0      0 S   0.0   0.0   2:18.50 migrati+
